brand, product_name, shipping
GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card  3 x WINDFORCE Fans  8GB 256-Bit GDDR6  GV-N207SGAMING OC-8GD Video Card,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card  GV-N207SGAMING OC-8GD,Free Shipping
EVGA GeForce GTX 1660 Ti XC GAMING  06G-P4-1263-KR  6GB GDDR6  HDB Fan,EVGA GeForce GTX 1660 Ti XC GAMING  06G-P4-1263-KR  6GB GDDR6  HDB Fan,Free Shipping
GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD Video Card,Free Shipping
MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,Free Shipping
ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,Free Shipping
EVGA GeForce GTX 1660 SC ULTRA GAMING  06G-P4-1067-KR  6GB GDDR5  Dual Fan  Metal Backplate,EVGA GeForce GTX 1660 SC ULTRA GAMING  06G-P4-1067-KR  6GB GDDR5  Dual Fan  Metal Backplate,Free Shipping
SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,Free Shipping
MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC Video Card,Free Shipping
GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD Video Card,Free Shipping
XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,Free Shipping
ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card,Free Shipping
ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO 4GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO Video Card,Free Shipping
